scene_id,template_name,ground_truth_px,distance,iou
ce-12,moon,"90, 436",21.01,0.4973
ce-12,toucan,"253, 702",12.04,0.7186
ce-12,candle,"622, 617",545.42,0.0000
ce-12,bowl,"727, 760",828.71,0.0000
ce-12,toothbrush,"861, 912",1.41,0.6696
ce-12,cupcake,"400, 461",239.30,0.0000
ce-12,banana,"161, 724",6.50,0.7345
ce-12,envelope,"530, 709",4.03,0.7163
ce-12,bell,"999, 720",7.43,0.5977
ce-12,kite,"818, 682",3.00,0.3332
ce-12,button,"48, 668",0.50,0.8692
ce-12,bandage,"230, 220",5.85,0.4234
ce-12,teacup,"937, 662",434.56,0.0000
ce-12,fish,"193, 526",16.29,0.3304
ce-12,bat,"825, 519",6.95,0.6243
