scene_id,template_name,ground_truth_px,distance,iou
gh-15,bat,"181, 478",8.32,0.7123
gh-15,pie,N/A,N/A,N/A
gh-15,candycane,"184, 241",88.55,0.0000
gh-15,crown,"181, 167",0.50,0.4877
gh-15,toothbrush,"114, 42",224.18,0.0000
gh-15,baseball,"79, 373",153.59,0.0000
gh-15,mitten,"302, 498",282.12,0.0000
gh-15,heart,"447, 347",424.60,0.0000
gh-15,bread,"50, 474",257.06,0.0000
gh-15,mug,"366, 187",208.38,0.0000
gh-15,saw,"412, 82",3.50,0.3025
gh-15,cracker,"73, 310",115.85,0.0000
gh-15,muffin,"36, 49",235.70,0.0000
gh-15,nail,"332, 359",255.07,0.0000
gh-15,pennant,"203, 369",5.22,0.4900
